Kode Plat Nomor;Provinsi;Kota/Kabupaten
A;Banten;Cilegon, Tangerang, Lebak, Pandeglang, dan Serang
AA;Jawa Tengah;Purworejo, Kedu, Temanggung, Magelang, Kebumen, dan Wonosobo
AB;Jawa Tengah;Yogyakarta, Kulon Progo, Gunung Kidul, Bantul, dan Sleman
AD;Jawa Tengah;Klaten, Boyolali, Wonogiri, Karanganyar, Sragen, Sukoharjo, dan Surakarta
AE;Jawa Timur;Madiun, Ngawi, Magetan, Pacitan, Ponorogo
AG;Jawa Timur;Kediri, Tulungagung, Blitar, Nganjuk, dan Trenggalek
B;DKI Jakarta;Jakarta Barat, Jakarta Pusat, Jakarta Selatan, Jakarta Utara, Jakarta Timur, Bekasi, Depok, Tangerang, Tangerang Selatan, dan Bekasi
BA;Sumatera Barat;Semua Kabupaten dan Kota di Sumatera Barat
BB;Sumatera Utara;Semua Kabupaten dan Kota di Sumatera Utara bagian barat (pesisir barat)
BD;Bengkulu;Semua Kabupaten dan Kota di Bengkulu
BE;Lampung;Semua Kabupaten dan Kota di Lampung
BG ;Sumatera Selatan;Semua Kabupaten dan Kota di Sumatera Selatan
BH;Jambi;Semua Kabupaten dan Kota di Jambi
BK;Sumatera Utara;Semua Kabupaten dan Kota di Sumatera Utara bagian timur (pesisir timur)
BL;Aceh;Semua Kabupaten dan Kota di Aceh
BM;Riau;Semua Kabupaten dan Kota di Riau
BN;Bangka Belitung;Semua Kabupaten dan Kota di Bangka Belitung
BP;Kepulauan Riau;Semua Kabupaten dan Kota di Kepulauan Riau
D;Jawa Barat;Bandung, Bandung Barat, dan cimahi
DA;Kalimantan Selatan;Semua Kabupaten dan Kota di Kalimantan Selatan
DB;Sulawesi Utara;Manado, Minahasa, Bitung, Tomohon, Bolaang Mongondow, Bolaang Mongondow Selatan, Bolaang Mongondow Timur
DC;Sulawesi Barat;Semua Kabupaten dan Kota di Sulawesi Barat
DD;Sulawesi Selatan;Semua Kabupaten dan Kota di Sulawesi Selatan
DE;Maluku;Semua Kabupaten dan Kota di Maluku
DG;Maluku Utara;Semua Kabupaten dan Kota di Maluku Utara
DH;Nusa Tenggara Timur;Kupang, Rote Ndao, Timor Tengah Selatan, Timor Tengah Utara, dan Timor
DK;Bali;Denpasar, Badung, Tabanan, Klungkung, Gianyar, Karangasem, Jembrana, Buleleng, dan Bangli
DL;Sulawesi Utara;Talaud, Sangihe, Sitaro
DM;Gorontalo;Semua Kabupaten dan Kota di Gorontalo
DN ;Sulawesi Tengah;Semua Kabupaten dan Kota di Sulawesi Tengah
DR;Nusa Tenggara Barat;Lombok, Lombok Barat, Lombok Timur, Lombok Tengah, dan Mataram
DT;Sulawesi Tenggara;Semua Kabupaten dan Kota di Sulawesi Tenggara
E;Jawa Barat;Kuningan, Indramayu, Majalengka, dan Cirebon
EB;Nusa Tenggara Timur;Manggarai, Manggarai Barat, Flores, Flores Timur, Ngada, Sikka, Ende, Alor, dan Lembata
EA;Nusa Tenggara Barat;Sumbawa, Sumbawa Barat, Dompu, dan Bima
ED;Nusa Tenggara Timur;Sumba Barat dan Sumba Timur
F;Jawa Barat;Sukabumi, Bogor, dan Cianjur
G;Jawa Tengah;Pemalang, Brebes, Tegal, Batang, dan Pekalongan
H;Jawa Tengah;Demak, Kendal, Salatiga, dan Semarang
K;Jawa Tengah;Kudus, Pati, Cepu, Grobogan, Jepara, Blora, dan Rembang
KB;Kalimantan Barat;Semua Kabupaten dan Kota di Kalimantan Barat
KH;Kalimantan Tengah;Semua Kabupaten dan Kota di Kalimantan Tengah
KT;Kalimantan Timur;Semua Kabupaten dan Kota di Kalimantan Timur
KU;Kalimantan Utara;Semua Kabupaten dan Kota di Kalimantan Utara
L;Jawa Timur;Surabaya
M;Jawa Timur;Madura, Sampang, Sumenep, Bangkalan, dan Pamekasan
N;Jawa Timur;Malang, Batu, Pasuruan, Probolinggo, dan Lumajang
P;Jawa Timur;Bondowoso, Banyuwangi, Jember, Besuki, dan Situbondo
PA;Papua;Semua Kabupaten dan Kota di Papua
PB;Papua Barat;Semua Kabupaten dan Kota di Papua Barat
R;Jawa Tengah;Purbalingga, Banjarnegara, Banyumas, dan Cilacap
S;Jawa Timur;Lamongan, Jombang, Bojonegoro, Tuban, dan Mojokerto
T;Jawa Barat;Purwakarta, Karawang, dan Subang
W;Jawa Timur;Gresik dan Sidoarjo
Z;Jawa Barat;Sumedang, Ciamis, Garut, Tasikmalaya, dan Banjar
